iter	Logloss
395	0.1897577729
396	0.1894581725
397	0.188725253
398	0.1881251785
399	0.1874647258
400	0.1867902342
401	0.1861378193
402	0.1856933893
403	0.1850449206
404	0.1845006889
405	0.1839585051
406	0.1834871736
407	0.1824943026
408	0.1818116044
409	0.18080372
410	0.1802878769
411	0.1798720354
412	0.1795616704
413	0.1793077441
414	0.1790545773
415	0.1785816268
416	0.1778562494
417	0.1776168222
418	0.177022967
419	0.1765084958
420	0.1760251517
421	0.1754856501
422	0.1750282876
423	0.1744779929
424	0.1737520474
425	0.1735786918
426	0.1727371791
427	0.1725270859
428	0.171994662
429	0.1715102373
430	0.1710547307
431	0.1708109455
432	0.1704115575
433	0.1700147162
434	0.1694856094
435	0.168996452
436	0.1685304803
437	0.1677472579
438	0.1674813511
439	0.1667371293
440	0.1666035833
441	0.1659379739
442	0.1651943331
443	0.1645222049
444	0.1639681938
445	0.1635881636
446	0.1630064404
447	0.1625667205
448	0.1618283871
449	0.1612697644
450	0.1607128913
451	0.1604580194
452	0.1597583663
453	0.1591684641
454	0.1586065133
455	0.1581482924
456	0.1575762689
457	0.1569245656
458	0.1562515921
459	0.1558748412
460	0.1553022369
461	0.154812685
462	0.1544094918
463	0.1538690218
464	0.1534897226
465	0.1531669947
466	0.1526675177
467	0.1520539779
468	0.1515095678
469	0.151098563
470	0.1502719881
471	0.1498703838
472	0.1492501458
473	0.1488409567
474	0.148394632
475	0.1480665113
476	0.1475375569
477	0.1471590142
478	0.1468671455
479	0.1465343699
480	0.1459511595
481	0.145524109
482	0.1451921251
483	0.1448196945
484	0.1444932916
485	0.1441502283
486	0.143739937
487	0.1434806681
488	0.1429707966
489	0.1427342867
490	0.1425727936
491	0.1422347507
492	0.1419636629
493	0.1416866464
494	0.1413515165
495	0.1411776503
496	0.1404786453
497	0.1402139999
498	0.1397769692
499	0.1393549459
